context_condition,sign_flip,seed,layer,epsilon,n_pairs,n_base,flip_rate,mean_clean_margin,mean_adv_margin,mean_delta_margin,median_delta_margin,mean_chosen_delta_reward,mean_rejected_delta_reward,mean_max_token_norm
ambig,False,0,1,1.0,200,44,1.0,-1.3238871002197266,-30.6596875,-29.335800399780272,-29.40625,-12.9470703125,16.388730087280273,0.9999721297621726
ambig,False,0,1,2.0,200,44,1.0,-1.3238871002197266,-31.07,-29.74611289978027,-30.04296875,-13.1636328125,16.582480087280274,1.3830509078502655
ambig,False,0,1,2.8,200,44,1.0,-1.3238871002197266,-31.07,-29.74611289978027,-30.04296875,-13.1636328125,16.582480087280274,1.3830509078502655
ambig,False,0,13,1.0,200,44,1.0,-1.3238871002197266,-9.01089111328125,-7.687004013061523,-7.73297119140625,-3.5113671875,4.175636825561523,1.0000000309944153
ambig,False,0,13,2.0,200,44,1.0,-1.3238871002197266,-13.6512890625,-12.327401962280273,-12.39453125,-5.9236328125,6.403769149780273,2.0000000196695327
ambig,False,0,13,2.8,200,44,1.0,-1.3238871002197266,-15.7055078125,-14.381620712280274,-14.5078125,-7.0892578125,7.292362899780273,2.8000000500679016
ambig,False,0,21,1.0,200,44,0.25,-1.3238871002197266,-1.7948381042480468,-0.4709510040283203,-0.537109375,-0.2415234375,0.2294275665283203,1.0000000140070915
ambig,False,0,21,2.0,200,44,0.4772727272727273,-1.3238871002197266,-2.2307806396484375,-0.906893539428711,-1.0625,-0.45822265625,0.44867088317871096,2.0000000089406966
ambig,False,0,21,2.8,200,44,0.5681818181818182,-1.3238871002197266,-2.5189844512939454,-1.1950973510742187,-1.42138671875,-0.59568359375,0.5994137573242188,2.800000021457672
ambig,False,1,1,1.0,200,39,1.0,-1.4256927490234375,-30.41515625,-28.989463500976562,-29.0625,-12.69994140625,16.289522094726564,1.000000012218952
ambig,False,1,1,2.0,200,39,1.0,-1.4256927490234375,-31.01287109375,-29.587178344726563,-29.826171875,-12.98634765625,16.600830688476563,1.3916665548086167
ambig,False,1,1,2.8,200,39,1.0,-1.4256927490234375,-31.01474609375,-29.589053344726562,-29.826171875,-12.98697265625,16.602080688476562,1.3925085115432738
ambig,False,1,13,1.0,200,39,1.0,-1.4256927490234375,-9.20521484375,-7.779522094726563,-7.719970703125,-3.53939453125,4.2401275634765625,1.000000025033951
ambig,False,1,13,2.0,200,39,1.0,-1.4256927490234375,-13.8667578125,-12.441065063476563,-12.390625,-5.94666015625,6.494404907226563,2.0000000327825544
ambig,False,1,13,2.8,200,39,1.0,-1.4256927490234375,-15.91578125,-14.490088500976562,-14.525390625,-7.10369140625,7.386397094726562,2.800000023841858
ambig,False,1,21,1.0,200,39,0.2564102564102564,-1.4256927490234375,-1.8903213500976563,-0.46462860107421877,-0.5400390625,-0.236435546875,0.22819305419921876,1.0000000101327897
ambig,False,1,21,2.0,200,39,0.5128205128205128,-1.4256927490234375,-2.308454074859619,-0.8827613258361816,-1.0546875,-0.44775390625,0.43500741958618167,2.000000011920929
ambig,False,1,21,2.8,200,39,0.5641025641025641,-1.4256927490234375,-2.578572998046875,-1.1528802490234376,-1.404296875,-0.5741015625,0.5787786865234374,2.8000000059604644
ambig,True,0,1,1.0,200,44,1.0,-1.3238871002197266,-33.29751159667969,-31.973624496459962,-32.056640625,-14.1495703125,17.824054183959962,1.000000025033951
ambig,True,0,1,2.0,200,44,1.0,-1.3238871002197266,-34.557890625,-33.23400352478027,-33.515380859375,-14.9345703125,18.299433212280274,1.5195792710781098
ambig,True,0,1,2.8,200,44,1.0,-1.3238871002197266,-34.560390625,-33.236503524780275,-33.515380859375,-14.9358203125,18.300683212280273,1.5207581752538681
ambig,True,0,13,1.0,202,44,1.0,-1.3321669927918085,-12.21592667079208,-10.88375967800027,-10.796875,-5.129060952970297,5.754698725029973,1.00000004367073
ambig,True,0,13,2.0,200,44,1.0,-1.3238871002197266,-17.784375,-16.460487899780272,-16.3125,-8.0208203125,8.439667587280274,2.0000000327825544
ambig,True,0,13,2.8,200,44,1.0,-1.3238871002197266,-19.3190625,-17.995175399780273,-17.8740234375,-8.9667578125,9.028417587280273,2.7937505519390107
ambig,True,0,21,1.0,200,44,0.5681818181818182,-1.3238871002197266,-2.395679168701172,-1.0717920684814453,-1.070556640625,-0.5409375,0.5308545684814453,1.0000000223517418
ambig,True,0,21,2.0,200,44,0.8409090909090909,-1.3238871002197266,-3.247055354118347,-1.9231682538986206,-1.9208984375,-0.9644921875,0.9586760663986206,2.0000000208616258
ambig,True,0,21,2.8,200,44,0.9772727272727273,-1.3238871002197266,-3.8524314880371096,-2.5285443878173828,-2.53125,-1.26546875,1.2630756378173829,2.8000000536441805
ambig,True,1,1,1.0,200,39,1.0,-1.4256927490234375,-33.6228125,-32.19711975097656,-32.13671875,-14.42306640625,17.774053344726564,1.000000022649765
ambig,True,1,1,2.0,200,39,1.0,-1.4256927490234375,-35.268359375,-33.84266662597656,-34.0,-15.50619140625,18.336475219726562,1.5345055150985718
ambig,True,1,1,2.8,200,39,1.0,-1.4256927490234375,-35.263046875,-33.83735412597656,-34.0,-15.50056640625,18.336787719726562,1.5399842417240144
ambig,True,1,13,1.0,200,39,1.0,-1.4256927490234375,-12.3805078125,-10.954815063476563,-10.87890625,-5.14775390625,5.8070611572265625,1.000000039935112
ambig,True,1,13,2.0,200,39,1.0,-1.4256927490234375,-17.935,-16.509307250976562,-16.515625,-8.04181640625,8.467490844726562,2.000000033378601
ambig,True,1,13,2.8,200,39,1.0,-1.4256927490234375,-19.48078125,-18.055088500976563,-18.03515625,-9.00244140625,9.052647094726563,2.7959795022010803
ambig,True,1,21,1.0,200,39,0.6153846153846154,-1.4256927490234375,-2.5051141357421876,-1.07942138671875,-1.078125,-0.54337890625,0.53604248046875,1.0000000163912772
ambig,True,1,21,2.0,200,39,0.8717948717948718,-1.4256927490234375,-3.3555621337890624,-1.929869384765625,-1.9296875,-0.96833984375,0.961529541015625,2.0000000125169755
ambig,True,1,21,2.8,200,39,0.9743589743589743,-1.4256927490234375,-3.956066665649414,-2.5303739166259764,-2.5244140625,-1.26693359375,1.2634403228759765,2.8000000357627868
disambig,False,0,1,1.0,200,152,1.0,0.92093505859375,-28.52115234375,-29.44208740234375,-29.7734375,-16.18662109375,13.25546630859375,0.9956254720687866
disambig,False,0,1,2.0,200,152,1.0,0.92093505859375,-29.2626953125,-30.18363037109375,-30.423828125,-16.54943359375,13.63419677734375,1.3781345888972283
disambig,False,0,1,2.8,200,152,1.0,0.92093505859375,-29.2226953125,-30.14363037109375,-30.423828125,-16.53755859375,13.60607177734375,1.376364423930645
disambig,False,0,13,1.0,200,152,1.0,0.92093505859375,-6.068929443359375,-6.989864501953125,-6.833984375,-4.256142578125,2.733721923828125,1.0000000309944153
disambig,False,0,13,2.0,200,152,1.0,0.92093505859375,-10.10761962890625,-11.0285546875,-11.0859375,-6.792235107421875,4.236319580078125,2.000000028014183
disambig,False,0,13,2.8,200,152,1.0,0.92093505859375,-11.81697509765625,-12.73791015625,-12.8798828125,-7.81107421875,4.9268359375,2.780948672294617
disambig,False,0,21,1.0,200,152,0.11842105263157894,0.92093505859375,0.5556009602546692,-0.3653340983390808,-0.49560546875,-0.18582398176193238,0.17951011657714844,1.0000000125169755
disambig,False,0,21,2.0,200,152,0.2565789473684211,0.92093505859375,0.22413854598999022,-0.6967965126037597,-0.98828125,-0.35713083267211915,0.33966567993164065,2.0000000023841857
disambig,False,0,21,2.8,200,152,0.3355263157894737,0.92093505859375,0.0020989990234375,-0.9188360595703124,-1.34375,-0.47499603271484375,0.44384002685546875,2.800000021457672
disambig,False,1,1,1.0,200,149,1.0,0.940677490234375,-28.08765625,-29.028333740234373,-29.603515625,-16.081268920898438,12.947064819335937,0.9979074943065643
disambig,False,1,1,2.0,200,149,1.0,0.940677490234375,-28.9034375,-29.844114990234374,-30.35498046875,-16.446581420898436,13.397533569335938,1.4051303315162658
disambig,False,1,1,2.8,200,149,1.0,0.940677490234375,-28.89421875,-29.834896240234375,-30.35498046875,-16.437206420898438,13.397689819335938,1.4056300467252731
disambig,False,1,13,1.0,200,149,1.0,0.940677490234375,-6.058838806152344,-6.999516296386719,-6.8046875,-4.266796264648438,2.7327200317382814,1.000000033378601
disambig,False,1,13,2.0,200,149,1.0,0.940677490234375,-10.06277587890625,-11.003453369140624,-10.9462890625,-6.772677612304688,4.230775756835937,2.0000000262260436
disambig,False,1,13,2.8,200,149,1.0,0.940677490234375,-11.790052490234375,-12.73072998046875,-12.99658203125,-7.798261108398438,4.932468872070313,2.7789886581897734
disambig,False,1,21,1.0,200,149,0.12080536912751678,0.940677490234375,0.5758960342407227,-0.36478145599365236,-0.48828125,-0.18033687591552736,0.184444580078125,1.0000000113248826
disambig,False,1,21,2.0,200,149,0.2550335570469799,0.940677490234375,0.23630783081054688,-0.7043696594238281,-0.99560546875,-0.3486036682128906,0.3557659912109375,2.000000007748604
disambig,False,1,21,2.8,200,149,0.35570469798657717,0.940677490234375,0.00306671142578125,-0.9376107788085938,-1.350341796875,-0.46930877685546873,0.468302001953125,2.80000003695488
disambig,True,0,1,1.0,200,152,1.0,0.92093505859375,-36.1340625,-37.05499755859375,-37.2578125,-18.23693359375,18.81806396484375,1.0000000295042992
disambig,True,0,1,2.0,200,152,1.0,0.92093505859375,-37.8796875,-38.80062255859375,-39.1220703125,-18.98787109375,19.81275146484375,1.613937445282936
disambig,True,0,1,2.8,200,152,1.0,0.92093505859375,-37.8584375,-38.77937255859375,-38.953125,-18.99224609375,19.78712646484375,1.6175179839134217
disambig,True,0,13,1.0,200,152,1.0,0.92093505859375,-12.429765625,-13.35070068359375,-13.228515625,-6.87404296875,6.47665771484375,1.000000046491623
disambig,True,0,13,2.0,200,152,1.0,0.92093505859375,-18.25296875,-19.17390380859375,-19.078125,-9.86240234375,9.31150146484375,2.000000035762787
disambig,True,0,13,2.8,200,152,1.0,0.92093505859375,-19.7078125,-20.62874755859375,-20.50390625,-10.68068359375,9.94806396484375,2.7778244078159333
disambig,True,0,21,1.0,200,152,0.40131578947368424,0.92093505859375,-0.15840103149414062,-1.0793360900878906,-1.08203125,-0.5407374572753906,0.5385986328125,1.000000017285347
disambig,True,0,21,2.0,200,152,0.75,0.92093505859375,-1.0331268310546875,-1.9540618896484374,-1.9453125,-0.9790423583984375,0.97501953125,2.0000000190734863
disambig,True,0,21,2.8,200,152,0.8618421052631579,0.92093505859375,-1.6287869262695311,-2.549721984863281,-2.55078125,-1.27748779296875,1.2722341918945312,2.8000000309944153
disambig,True,1,1,1.0,200,149,1.0,0.940677490234375,-35.765625,-36.70630249023438,-36.873046875,-18.181112670898436,18.52518981933594,1.000000021457672
disambig,True,1,1,2.0,200,149,1.0,0.940677490234375,-37.53,-38.47067749023437,-38.9501953125,-18.996425170898437,19.47425231933594,1.6137192749977112
disambig,True,1,1,2.8,200,149,1.0,0.940677490234375,-37.506875,-38.44755249023437,-38.9501953125,-19.003300170898438,19.444252319335938,1.6230307304859162
disambig,True,1,13,1.0,200,149,1.0,0.940677490234375,-12.31734375,-13.258021240234376,-13.12109375,-6.837909545898437,6.4201116943359375,1.0000000476837159
disambig,True,1,13,2.0,200,149,1.0,0.940677490234375,-18.219375,-19.160052490234374,-19.13134765625,-9.863300170898437,9.296752319335937,2.000000017285347
disambig,True,1,13,2.8,200,149,1.0,0.940677490234375,-19.69921875,-20.639896240234375,-20.56640625,-10.698143920898438,9.941752319335938,2.7724326717853547
disambig,True,1,21,1.0,200,149,0.42953020134228187,0.940677490234375,-0.14030403137207031,-1.0809815216064453,-1.08203125,-0.5392406463623047,0.5417408752441406,1.000000017285347
disambig,True,1,21,2.0,200,149,0.6845637583892618,0.940677490234375,-1.0078156661987305,-1.9484931564331054,-1.94921875,-0.9738711547851563,0.9746220016479492,2.0000000393390653
disambig,True,1,21,2.8,200,149,0.8120805369127517,0.940677490234375,-1.6046117401123048,-2.54528923034668,-2.548828125,-1.2752910614013673,1.2699981689453126,2.8000000274181365
